"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\VideoPlayer\VideoPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\VideoPlayer\VideoPlayer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\narihani\Desktop\video-hosting\frontend\src\services\AuthService.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\services\UserService.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\narihani\Desktop\video-hosting\frontend\src\services\VideoService.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\store\slices\authSlice.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 24, 4, 47
"c:\Users\narihani\Desktop\video-hosting\frontend\src\store\store.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\narihani\Desktop\video-hosting\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\narihani\Desktop\video-hosting\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 33003, 899, 38, 1401, 143, 13, 1146, 89, 475, 37207
